モデル,パーツ種類,福井ア必要,福井ア実在,福井HW必要,福井HW実在,鯖江ア必要,鯖江ア実在,鯖江HW必要,鯖江HW実在,備考
6S黒,標準パネル,0,0,0,0,0,0,0,0,
6S白,標準パネル,0,1,0,0,0,0,0,0,
6SP黒,標準パネル,0,1,0,0,0,0,0,0,
6SP白,標準パネル,0,0,0,0,0,0,0,0,
7黒,標準パネル,0,0,0,0,0,0,0,0,
7白,標準パネル,0,0,0,0,0,0,0,0,
7P黒,標準パネル,0,0,0,1,0,0,0,0,
7P白,標準パネル,0,0,0,0,0,0,0,0,
8/SE2黒,標準パネル,2,3,1,1,3,3,1,1,
8白,標準パネル,0,0,0,0,0,0,0,0,
SE3,標準パネル,2,2,1,1,2,3,1,0,
8P黒,標準パネル,0,1,0,0,0,0,0,0,
8P白,標準パネル,0,0,0,0,0,0,0,0,
X,標準パネル,1,1,1,1,1,1,1,1,
XR,標準パネル,1,2,1,1,1,0,1,1,
XS,標準パネル,1,2,1,1,1,0,1,1,
XSMax,標準パネル,1,1,1,1,0,1,1,0,
11,標準パネル,2,1,1,1,2,2,1,0,
11Pro,標準パネル,1,2,1,1,1,2,1,0,
11ProMax,標準パネル,1,1,1,1,0,1,1,0,
12mini,標準パネル,1,2,1,0,1,1,1,1,
12/12Pro,標準パネル,2,4,1,1,2,2,1,1,
12ProMax,標準パネル,1,1,1,1,1,1,1,1,
13mini,標準パネル,1,1,1,1,1,2,1,1,
13,標準パネル,2,2,1,1,2,2,1,1,
13Pro,標準パネル,1,1,1,1,1,1,1,1,
13ProMax,標準パネル,1,1,1,1,1,1,1,1,
14,標準パネル,1,1,1,1,1,1,1,1,
14Plus,標準パネル,1,1,1,1,0,0,1,1,
14Pro,標準パネル,1,1,1,1,0,1,1,1,
14ProMax,標準パネル,1,1,1,2,0,0,1,1,
15,標準パネル,1,1,1,1,1,1,1,1,
15Plus,標準パネル,1,1,1,1,0,1,1,0,
15Pro,標準パネル,1,1,1,1,1,1,1,1,
15ProMax,標準パネル,1,1,1,1,0,0,1,1,
16,標準パネル,1,1,1,1,0,0,1,1,
16e,標準パネル,1,1,1,1,0,0,1,1,
8/SE2,HGパネル,2,3,2,0,2,3,2,2,
SE3,HGパネル,2,2,2,3,2,2,2,3,
8白,HGパネル,0,0,0,0,0,0,0,0,
8P黒,HGパネル,0,0,0,0,0,0,0,0,
8P白,HGパネル,0,0,0,0,0,0,0,0,
X,HGパネル,1,1,0,0,0,1,0,0,
XR,HGパネル,1,1,0,0,0,0,0,1,
XS,HGパネル,1,1,0,0,0,1,0,0,
XSMax,HGパネル,1,1,0,0,0,0,0,1,
11,HGパネル,1,1,0,0,1,2,0,0,
