管理No,入荷日,入荷店舗,仕入元,担当者,モデル,ストレージ,ランク,バッテリー%,カメラ窓,カメラ染み,NW制限,非正規修理,IMEI,買取価格,修理パーツ原価,販売原価,販売価格,在庫ステータス,ECステータス,販売日,販売チャネル,販売担当者,備考,最終価格更新日時
8669,2025/02/19,福井店,ウェブ,,11,64,美品,80%~89%,破損なし,染みあり,◯,履歴なし,352926115988669,18200,4375,23400,28980,在庫,M出品済,,,,"基準価格 ¥31,980
バッテリー -1,000円
カメラ染み -2,000円",2026/01/13
2895,2025/03/09,鯖江店,店舗 (ベル),,X,64,リペア品,80%~89%,破損なし,染みなし,◯,履歴なし,353019091642895,11200,2310,13510,13980,在庫,M出品済,,,,"バッテリー-1,000",2026/01/24
3489,2025/04/07,鯖江店,店舗 (ベル),,SE2,64,良品,80%~89%,破損なし,染みなし,◯,履歴なし,356711114663489,9800,0,9800,18980,在庫,SM出品済,,,,"バッテリー-1,000",2026/01/24
7532,2025/04/16,鯖江店,店舗 (ベル),,11,64,美品,~79%,破損なし,染みなし,◯,履歴なし,356564105767532,20800,0,21625,33980,在庫,SM出品済,,,,"バッテリー交換済み+3,000",2026/01/24
9428,2025/04/19,鯖江店,店舗 (ベル),,13Pro,128,美品,80%~89%,破損なし,染みなし,◯,履歴なし,357866895229428,57600,0,57600,78980,在庫,SM出品済,,,,"バッテリー-1,000",2026/01/13
7664,2025/04/26,鯖江店,店舗 (ベル),,SE2,128,美品,80%~89%,破損なし,染みなし,◯,履歴なし,356499101207664,15300,0,15300,23980,在庫,SM出品済,,,,"バッテリー-1,000",2026/01/13
1669,2025/04/28,鯖江店,店舗 (ベル),,SE2,128,美品,80%~89%,破損なし,染みなし,◯,履歴なし,356742118891669,15300,548,15848,27980,在庫,SM出品済,,,,"バッテリー交換済み+3,000",2026/01/13
8352,2025/05/05,鯖江店,店舗 (ベル),,12Pro,256,良品,~79%,破損なし,染みなし,◯,履歴なし,356688111968352,31200,825,32025,61980,在庫,SM出品済,,,,0.268,2026/01/11
6503,2025/05/06,鯖江店,店舗 (ベル),,SE2,128,美品,80%~89%,破損なし,染みなし,◯,履歴なし,356106844616503,15300,0,15300,23980,在庫,SM出品済,,,,"バッテリー-1,000",2026/01/13
8451,2025/05/06,福井店,店舗 (ベル),,XR,64,並品,80%~89%,破損なし,染みなし,◯,履歴なし,357377092498451,12600,0,12600,18980,在庫,SM出品済,,,,"バッテリー -1,000円",2026/01/21
