管理No,入荷日,入荷店舗,仕入元,担当者,モデル,ストレージ,ランク,バッテリー%,カメラ窓,カメラ染み,NW制限,非正規修理,IMEI,買取価格,修理パーツ原価,販売原価,販売価格,在庫ステータス,ECステータス,販売日,販売チャネル,販売担当者,備考,最終価格更新日時
7070,2024/11/09,福井店,ウェブ,,XR,64,美品,~79%,◯,◯,◯,,358818090047070,14400,803,16800,30980,販売済,SM出品済,2025/6/12,店舗 (鯖江),,32.10%,
190,2024/11/09,福井店,店舗 (ベル),,12Pro,128,良品,80%~89%,◯,◯,◯,,356686117480190,31200,3630,34830,29980,販売済,M出品済,2025/7/4,メルカリ,,-29.70%,
1012,2024/11/03,福井店,店舗 (鯖江),,12Pro,128,美品,80%~89%,◯,◯,◯,,356686112211012,46800,1144,47944,30980,販売済,SM出品済,2025/6/1,店舗 (ベル),堀,-68.50%,
7505,2024/11/17,福井店,ウェブ,,11,128,美品,~79%,◯,◯,◯,,356565103787505,27200,55,28080,30980,販売済,SM出品済,2025/6/8,店舗 (ベル),堀,-4.40%,
2686,2024/11/24,福井店,店舗 (ベル),,11Pro,64,美品,80%~89%,◯,破損有り,◯,,353835107922686,24500,1177,25677,30980,販売済,SM出品済,2025/7/1,メルカリ,,3.40%,
542,2024/11/26,福井店,店舗 (ベル),,13Pro,128,美品,80%~89%,◯,◯,◯,,353742331130542,60300,1298,61598,69980,販売済,SM出品済,2025/6/16,店舗 (ベル),堀,-0.10%,
2841,2024/12/01,福井店,ウェブ,,X,256,美品,~79%,◯,◯,◯,,356742083222841,15200,990,16190,16980,販売済,SM出品済,2025/6/27,メルカリ,,-10.90%,
5259,2024/12/01,鯖江店,店舗 (ベル),,12mini,64,良品,80%~89%,◯,◯,◯,,353011113355259,27900,880,28780,27255,販売済,SM出品済,2025/10/14,店舗 (鯖江),土本,-19.30%,
348,2024/12/12,福井店,店舗 (ベル),,SE2,64,美品,80%~89%,◯,◯,◯,,354430718470348,13500,540,14040,30980,販売済,SM出品済,2025/6/23,店舗 (ベル),堀,41.00%,
1050,2024/12/12,福井店,店舗 (ベル),,12mini,128,リペア品,~79%,◯,◯,◯,,353012116481050,13600,5280,18880,17980,販売済,M出品済,2025/6/2,メルカリ,,-20.30%,
115,2024/12/14,福井店,ウェブ,,11,64,並品,~79%,◯,◯,◯,,352915112420115,17400,3205,21430,25980,販売済,M出品済,2025/7/8,店舗 (ベル),堀,3.50%,
8,2024/12/15,福井店,店舗 (ベル),,12mini,64,美品,80%~89%,◯,◯,◯,,353010117380008,27900,880,28780,29982,販売済,SM出品済,2025/11/01,店舗 (ベル),龍田,-9.50%,
5695,2024/12/16,福井店,ウェブ,,8,256,良品,80%~89%,◯,◯,◯,,356728080325695,8400,1,8838,10980,販売済,SM出品済,2025/6/23,メルカリ,,0.90%,
2835,2024/12/21,鯖江店,ウェブ,,11,64,美品,~79%,◯,◯,◯,,353991106452835,23200,55,24080,36345,販売済,SM出品済,2025/8/15,店舗 (鯖江),龍田,20.70%,
8062,2024/12/24,鯖江店,ウェブ,,XS,64,美品,80%~89%,◯,染み有り,◯,,357234097148062,15400,1100,16500,16255,販売済,SM出品済,2025/9/29,メルカリ,,-17.20%,
2300,2024/12/24,福井店,ウェブ,,XR,64,美品,80%~89%,◯,◯,◯,,358824090132300,18900,803,19703,17980,販売済,SM出品済,2025/6/10,メルカリ,,-24.90%,
7459,2024/12/25,福井店,店舗 (ベル),,XSMax,256,良品,80%~89%,◯,◯,◯,,357300091467459,23100,0,23100,36980,販売済,M出品済,2025/6/19,メルカリ,,24.40%,
2957,2024/12/27,福井店,ウェブ,,11,128,美品,~79%,◯,◯,◯,,352913116732957,27200,55,28080,28980,販売済,SM出品済,2025/6/15,Shopify,土本,-10.50%,
719,2024/12/27,福井店,店舗 (ベル),,11Pro,256,美品,80%~89%,◯,◯,◯,,353836108860719,37800,0,37800,39980,販売済,SM出品済,2025/6/21,店舗 (ベル),堀,-7.40%,
2670,2024/12/27,福井店,店舗 (ベル),,11Pro,256,良品,80%~89%,◯,◯,◯,,353836109962670,29400,0,29400,26980,販売済,SM出品済,2025/7/3,メルカリ,,-22.90%,
6744,2024/12/29,福井店,店舗 (ベル),,12ProMax,256,良品,80%~89%,◯,◯,◯,,356719110676744,48300,0,48300,30000,販売済,M出品済,2025/9/4,メルカリ,,-74.80%,
7497,2025/01/05,福井店,店舗 (ベル),,XR,64,良品,~79%,◯,◯,◯,,357373098737497,12600,803,13403,15980,販売済,M出品済,2025/6/12,メルカリ,,0.20%,
9967,2025/01/12,福井店,店舗 (ベル),,12,64,良品,~79%,◯,◯,◯,,351365224879967,25600,55,26480,36980,販売済,SM出品済,2025/6/2,店舗 (ベル),堀,15.30%,
9232,2025/01/12,福井店,店舗 (ベル),,XR,64,美品,80%~89%,◯,◯,◯,,353051102959232,18900,0,18900,16780,販売済,SM出品済,2025/7/6,メルカリ,,-28.40%,
2833,2025/01/14,福井店,ウェブ,,11,64,美品,80%~89%,◯,◯,◯,,350864488472833,26100,0,26100,25980,販売済,M出品済,2025/7/11,店舗 (ベル),堀,-14.50%,
5860,2025/01/19,福井店,ウェブ,,13Pro,256,美品,80%~89%,◯,◯,◯,,353742332155860,64800,0,64800,74980,販売済,SM出品済,2025/7/6,店舗 (ベル),堀,1.50%,
4666,2025/01/20,福井店,ウェブ,,XR,64,良品,~79%,◯,染み有り,◯,,357374097334666,14805,803,15608,14980,販売済,SM出品済,2025/6/22,メルカリ,,-20.50%,
9741,2025/01/22,福井店,店舗 (ベル),,11,128,美品,~79%,◯,◯,◯,,353994102669741,27200,55,28080,31980,販売済,M出品済,2025/7/19,店舗 (ベル),堀,-1.40%,
1840,2025/01/22,福井店,店舗 (ベル),,11,128,良品,90%~,◯,◯,◯,,352922113881840,27200,0,27200,29980,販売済,SM出品済,2025/6/15,店舗 (ベル),土本,-4.20%,
7098,2025/01/18,福井店,店舗 (ベル),,SE3,64,リペア品,~79%,◯,◯,◯,,358974861347098,17800,2937,20891,27255,販売済,M出品済,2025/10/5,店舗 (ベル),堀,9.60%,
5143,2025/01/16,福井店,店舗 (ベル),,8,256,リペア品,~79%,◯,染み有り,◯,,352994098085143,1000,2417,3417,5436,販売済,M出品済,2025/9/12,メルカリ,,12.30%,
1252,2025/02/09,福井店,店舗 (ベル),,XR,128,良品,80%~89%,◯,◯,◯,,358818092881252,16100,0,16100,17980,販売済,M出品済,2025/6/21,メルカリ,,-4.80%,
7206,2025/02/11,福井店,店舗 (ベル),,XR,64,良品,80%~89%,◯,染み有り,◯,,357377099007206,8500,803,9303,16280,販売済,M出品済,2025/6/12,メルカリ,,27.20%,
8898,2025/02/12,福井店,店舗 (ベル),,13Pro,128,美品,80%~89%,◯,◯,◯,,356144898178898,60600,0,60600,68164,販売済,SM出品済,2025/10/10,店舗 (ベル),龍田,-1.00%,
1936,2025/02/12,福井店,店舗 (ベル),,12mini,64,良品,80%~89%,◯,◯,◯,,353014112711936,15500,0,15500,19980,販売済,SM出品済,2025/6/29,メルカリ,,7.70%,
198,2025/02/14,福井店,ウェブ,,12,128,良品,80%~89%,◯,◯,◯,,354447420170198,30000,0,30000,37980,販売済,SM出品済,2025/6/15,店舗 (ベル),堀,8.00%,
5800,2025/01/13,福井店,ウェブ,,11,64,リペア品,~79%,◯,◯,◯,,358981872475800,10400,0,13425,19680,販売済,M出品済,2025/6/10,メルカリ,,16.80%,
