,,販売価格,,,,
機種名,容量,超美品,美品,良品,並品,リペア品
iPhone SE 2,64GB,"24,980","21,980","19,980","17,980","14,980"
iPhone SE 2,128GB,"28,980","24,980","22,980","20,980","17,980"
iPhone SE 2,256GB,"32,980","28,980","26,980","24,980","21,980"
iPhone SE 3,64GB,"59,980","40,980","36,980","32,980","28,980"
iPhone SE 3,128GB,"69,980","48,980","44,980","40,980","36,980"
iPhone SE 3,256GB,"79,980","56,980","52,980","48,980","44,980"
iPhone 8,64GB,"14,980","12,980","11,980","10,980","8,980"
iPhone 8,128GB,"16,980","14,980","13,980","12,980","10,980"
iPhone 8,256GB,"18,980","16,980","15,980","14,980","12,980"
iPhone 8 Plus,64GB,"16,980","14,980","13,980","12,980","10,980"
iPhone 8 Plus,256GB,"20,980","18,980","17,980","16,980","14,980"
iPhone X,64GB,"24,980","22,980","20,980","18,980","14,980"
iPhone X,256GB,"26,980","24,980","22,980","20,980","16,980"
iPhone XS,64GB,"24,980","22,980","20,980","18,980","14,980"
iPhone XS,256GB,"31,980","29,980","27,980","25,980","21,980"
iPhone XS,512GB,"34,980","32,980","30,980","28,980","24,980"
iPhone XS Max,64GB,"34,980","32,980","30,980","28,980","24,980"
iPhone XS Max,256GB,"36,980","34,980","32,980","30,980","26,980"
iPhone XS Max,512GB,"39,980","37,980","35,980","33,980","29,980"
iPhone XR,64GB,"26,980","23,980","21,980","19,980","16,980"
iPhone XR,128GB,"28,980","25,980","23,980","21,980","18,980"
iPhone XR,256GB,"32,980","28,980","26,980","24,980","21,980"
iPhone 11,64GB,"36,980","30,980","28,980","26,980","23,980"
iPhone 11,128GB,"39,980","36,980","34,980","32,980","29,980"
iPhone 11,256GB,"42,980","39,980","37,980","35,980","32,980"
iPhone 11 Pro,64GB,"42,980","39,980","37,980","35,980","30,980"
iPhone 11 Pro,256GB,"45,980","42,980","40,980","38,980","33,980"
iPhone 11 Pro,512GB,"52,980","45,980","43,980","41,980","36,980"
iPhone 11 Pro Max,64GB,"52,980","47,980","45,980","43,980","38,980"
iPhone 11 Pro Max,256GB,"56,980","49,980","47,980","45,980","40,980"
iPhone 11 Pro Max,512GB,"59,980","52,980","50,980","48,980","43,980"
iPhone 12,64GB,"42,980","39,980","37,980","35,980","30,980"
iPhone 12,128GB,"49,980","46,980","44,980","42,980","37,980"
iPhone 12,256GB,"52,980","49,980","47,980","45,980","40,980"
iPhone 12 mini,64GB,"39,980","36,980","34,980","32,980","27,980"
iPhone 12 mini,128GB,"42,980","39,980","37,980","35,980","30,980"
iPhone 12 mini,256GB,"45,980","42,980","40,980","38,980","33,980"
iPhone 12 Pro,128GB,"62,980","57,980","52,980","47,980","42,980"
iPhone 12 Pro,256GB,"67,980","62,980","57,980","52,980","47,980"
